library,book,total_chapters
ot,gen,50
ot,ex,40
ot,lev,27
ot,num,36
ot,deut,34
ot,josh,24
ot,judg,21
ot,ruth,4
ot,1-sam,31
ot,2-sam,24
ot,1-kgs,22
ot,2-kgs,25
ot,1-chr,29
ot,2-chr,36
ot,ezra,10
ot,neh,13
ot,esth,10
ot,job,42
ot,ps,150
ot,prov,31
ot,eccl,12
ot,song,8
ot,isa,66
ot,jer,52
ot,lam,5
ot,ezek,48
ot,dan,12
ot,hosea,14
ot,joel,3
ot,amos,9
ot,obad,1
ot,jonah,4
ot,micah,7
ot,nahum,3
ot,hab,3
ot,zeph,3
ot,hag,2
ot,zech,14
ot,mal,4
nt,matt,28
nt,mark,16
nt,luke,24
nt,john,21
nt,acts,28
nt,rom,16
nt,1-cor,16
nt,2-cor,13
nt,gal,6
nt,eph,6
nt,philip,4
nt,col,4
nt,1-thes,5
nt,2-thes,3
nt,1-tim,6
nt,2-tim,4
nt,titus,3
nt,philem,1
nt,heb,13
nt,james,5
nt,1-pet,5
nt,2-pet,3
nt,1-jn,5
nt,2-jn,1
nt,3-jn,1
nt,jude,1
nt,rev,22
bofm,1-ne,22
bofm,2-ne,33
bofm,jacob,7
bofm,enos,1
bofm,jarom,1
bofm,omni,1
bofm,w-of-m,1
bofm,mosiah,29
bofm,alma,63
bofm,hel,16
bofm,3-ne,30
bofm,4-ne,1
bofm,morm,9
bofm,ether,15
bofm,moro,10
